,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy,Category
0,1835652.0,5494.0,1149,1600,0.718125,1.0014970157742318,16.44322344322344,181.96772247606614,181.0741949521323,177.46228296344648,25.82738797448215,23.638630017307538,28.7229492327943,7.05203875093912,0.9942885802259257,0.91448135620955,6.1038901482060055,Alari
0,1998750.0,5698.0,1251,1600,0.781875,1.0014258911819887,16.24375434646654,175.96003996802557,174.90627198241407,170.7510346722622,20.429652477663804,18.925618346752135,27.745741893559405,1.5646023070843516,0.9981007414515973,0.9227710523143206,5.919084768619188,Alari
0,2133066.0,5866.0,1600,1335,1.198501872659176,1.0013754848654473,16.13168837719977,176.77758286516854,177.48886095505617,175.02436095505618,50.71953191612101,47.92541003914108,54.87399610207491,10.972311855228678,0.9977698630859806,0.8881306135599665,6.288105334702947,Alari
0,1947962.0,5634.0,1220,1599,0.7629768605378362,1.0014466401295303,16.294956472456853,182.68213022483314,181.75278247675288,177.67931442807492,23.398182620623338,21.940216149516807,31.468069266513623,2.688862168343135,0.9975415160776469,0.9208916253531563,5.8221239868404435,Alari
0,1714654.0,5342.0,1074,1599,0.6716697936210131,1.0015583318850334,16.642986864988504,177.20082092741856,177.24742361089275,174.58010767903124,48.512594700056376,45.73442391941628,52.59810057660816,13.859999551867743,0.9969150551215396,0.8899558600858124,6.70561984184657,Alari
0,1651767.0,5264.0,1034,1600,0.64625,1.0015940504925938,16.775789805705042,180.8316162959381,181.0672878384913,178.33435686653772,47.535232254987,44.84309519787962,51.48380930330831,7.960595887496265,0.9981548113270124,0.9053334814464418,6.622862743674876,Alari
0,1614990.0,5218.0,1011,1600,0.631875,1.0016161090780749,16.859252379271698,178.14697143916914,178.80754141938675,176.76130007418396,47.37042166091371,44.73751449445789,50.85691286364121,10.887442838991053,0.9974529854134577,0.8905550949065417,6.492688080117362,Alari
0,2035527.0,5744.0,1600,1274,1.2558869701726845,1.001411428096999,16.208842231029113,179.07669005102042,179.37317307692308,176.3540585753532,48.41767640597446,45.637773475880934,52.805866297834555,10.495998110653538,0.9976597376688603,0.8814266236988233,5.964237546894001,Alari
0,1709331.0,5336.0,1070,1600,0.66875,1.001561429588535,16.65733319058743,176.9663113317757,176.93139544392523,174.47675876168225,45.760154164028876,43.041188375819004,49.903552664010824,10.784426097632483,0.9973013272095255,0.8814373767195838,6.835663714713726,Alari
0,1778088.0,5422.0,1113,1600,0.695625,1.0015252338466938,16.533537147767714,181.24839734950584,181.48917789757414,175.1244536163522,38.2883773000109,34.78747579632824,50.09626034215156,4.141340552668092,0.9985324644641115,0.9032768835934755,6.27088815196535,Alari
0,1917201.0,5596.0,1600,1200,1.3333333333333333,1.0014599408199767,16.333819980273326,191.8718734375,191.9413953125,180.45819270833334,38.33505813249123,31.79137388524497,45.9647422291481,7.945976863048008,0.9968107178142054,0.8896257319271128,6.872668895984811,Arasam
